Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/13/20,2183,12871,5.61,13,1185,176,21,58,1030
8/14/20,2104,11157,4.87,13,1212,150,16,62,920
8/15/20,1841,5999,2.62,11,1222,218,0,0,653
8/16/20,2056,9908,4.32,25,1183,232,6,19,913
8/17/20,2512,19190,8.37,66,1125,207,26,82,1420
8/18/20,2222,13479,5.88,40,1191,185,20,44,1058
8/19/20,2398,16001,6.98,42,1091,278,22,49,1328
8/20/20,2359,15240,7.24,23,1196,150,14,80,1192
8/21/20,1960,7055,3.09,22,1179,261,0,0,804
8/22/20,2352,14602,6.37,87,1108,281,19,32,1268
8/23/20,2558,18626,8.14,80,1072,283,24,61,1511
8/24/20,2779,21410,10.45,71,1109,209,20,102,1697
8/25/20,1920,7208,3.14,24,1252,157,8,23,695
8/26/20,2343,15139,6.60,44,1115,252,21,52,1259
8/27/20,2493,17976,7.86,47,1097,232,40,71,1415
8/28/20,2457,17420,7.61,46,1093,262,25,60,1393
8/29/20,1908,9183,4.01,22,1238,62,11,63,658
8/30/20,2277,13436,6.43,22,1191,186,7,56,1111
8/31/20,1949,7806,3.46,11,1226,189,6,19,747
9/1/20,2064,9745,4.25,13,1196,183,14,47,890
9/2/20,2202,10555,4.60,14,1109,288,8,35,1102
9/3/20,2364,15190,7.19,9,1195,139,14,92,1189
9/4/20,2606,16493,7.19,29,923,487,2,28,1692
9/5/20,2599,18311,7.99,41,985,401,18,36,1632
9/6/20,2469,17250,7.52,43,1095,243,32,70,1399
9/7/20,2167,11921,5.20,33,1052,257,11,27,1049
9/8/20,1874,5815,2.54,4,1239,169,4,28,652
9/9/20,2124,9432,4.11,10,1131,274,5,30,1011
9/10/20,2294,13770,6.57,11,1205,145,5,85,1112
9/11/20,2009,7743,3.38,10,1182,226,9,23,844
